Popularity,Vote_Count,Vote_Average,year,month,day_of_week,Original_Language_de,Original_Language_en,Original_Language_es,Original_Language_fr,Original_Language_it,Original_Language_ja,Original_Language_ko,Original_Language_other,Original_Language_ru,Original_Language_zh,other_genre,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War
284.798,2877,7.6,2020,11,2,False,True,False,False,False,False,False,False,False,False,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
282.246,341,7.7,2021,12,4,False,True,False,False,False,False,False,False,False,False,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
282.068,5182,8.0,2021,7,4,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
280.613,368,6.9,2022,1,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
279.344,130,7.4,2021,3,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
277.59,5048,8.0,2021,3,2,False,True,False,False,False,False,False,False,False,False,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
276.461,912,6.8,2021,9,3,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
273.622,3376,7.7,2021,4,3,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
273.35,163,6.2,2021,12,4,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
271.573,2952,7.1,2021,7,3,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
266.754,8,7.3,2022,1,3,False,False,True,False,False,False,False,False,False,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
266.614,4233,7.7,2021,5,1,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
265.806,17338,7.7,2005,6,4,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
264.99,390,6.8,2022,1,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
261.672,412,7.5,2021,11,4,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
257.852,113,7.8,2021,6,5,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
257.473,75,6.6,2021,6,0,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
256.866,218,6.1,2021,5,2,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
256.443,117,5.3,2021,11,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
254.31,1028,6.8,2021,7,3,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252.22,107,5.8,2021,10,4,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
250.831,28,5.2,2021,5,4,False,True,False,False,False,False,False,False,False,False,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
249.46,402,5.4,2021,11,4,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
246.652,455,7.1,2022,2,2,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
244.573,83,6.7,2022,2,4,False,False,False,False,False,False,False,True,False,False,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
244.18,785,7.2,2021,10,4,False,True,False,False,False,False,False,False,False,False,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
242.342,84,6.5,2021,4,1,False,False,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
241.638,411,7.9,2021,5,5,False,False,False,True,False,False,False,False,False,False,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
240.048,862,8.3,2020,11,5,False,False,False,True,False,False,False,False,False,False,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
240.002,7,6.9,2022,3,3,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239.599,890,8.4,2019,12,4,False,False,False,False,False,True,False,False,False,False,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
237.262,92,6.5,2021,11,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
235.482,256,6.4,2021,12,4,False,True,False,False,False,False,False,False,False,False,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
232.494,90,6.0,2021,8,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
